Date,Infected individuals,Recovered individuals,Death caused by COVID-19
2020/8/29,982573,802365,16977
2020/8/30,987470,804941,17045
2020/8/31,992402,807339,17128
2020/9/1,997072,813603,17250
2020/9/2,1001965,819043,17365
2020/9/3,1006923,824783,17479
2020/9/4,1011987,830532,17598
2020/9/5,1017131,835884,17707
2020/9/6,1022228,838680,17768
2020/9/7,1027334,840997,17818
2020/9/8,1032354,847746,17939
2020/9/9,1037526,854069,18080
2020/9/10,1042836,859961,18207
2020/9/11,1048257,865646,18309
2020/9/12,1053663,871000,18426
2020/9/13,1059024,873684,18517
2020/9/14,1064438,876152,18573
2020/9/15,1069873,881693,18723
