Date,USA,India,Brazil,Russia,Peru,Colombia,Turkey,Germany
05/22/24,1,1.1,1.1,1,1.1,1.2,1,1
05/23/24,1,1.1,1.1,1,1.1,1.1,1,1
05/24/24,1,1.1,1.1,1,1.1,1.2,1,1
05/25/24,1,1.1,1.1,1,1.1,1.2,1,1
05/26/24,1,1.1,1.1,1,1.1,1.2,1,1
05/27/24,1,1.1,1.1,1,1.1,1.2,1,1
05/28/24,1,1.1,1.1,1,1.1,1.1,1,1
05/29/24,1,1.1,1.1,1,1.1,1.1,1,1
05/30/24,1,1.1,1.1,1,1.1,1.1,1,1
05/31/24,1,1.1,1.1,1,1.1,1.1,1,1
06/01/24,1,1.1,1.1,1,1.1,1.1,1,1
06/02/24,1,1.1,1.1,1,1.1,1.1,1,1
06/03/24,1,1.1,1.1,1,1.1,1.1,1,1
06/04/24,1,1.1,1,1,1.1,1,1,1
06/05/24,1,1.1,1,1,1,1,1,1
06/06/24,1,1.1,1,1,1,1.1,1,1
06/07/24,1,1.1,1,1,1,1.1,1,1
06/08/24,1,1.1,1,1,1,1.1,1,1
06/09/24,1,1.1,1,1,1,1.1,1,1
06/10/24,1,1.1,1,1,1,1.1,1,1
06/11/24,1,1,1,1,1,1.1,1,1
06/12/24,1,1,1,1,1,1.1,1,1
06/13/24,1,1,1.1,1,1,1.1,1,1
06/14/24,1,1,1.1,1,1,1.1,1,1
06/15/24,1,1,1.1,1,1,1.1,1,1
06/16/24,1,1,1.1,1,1,1.1,1,1
06/17/24,1,1,1.1,1,1,1.1,1,1
06/18/24,1,1,1.1,1,1,1.1,1,1
06/19/24,1,1,1.1,1,1,1.1,1,1
06/20/24,1,1,1.1,1,1,1.1,1,1
06/21/24,1.1,1,1,1,1,1.1,1,1
06/22/24,1.1,1,1.1,1,1,1.1,1,1
06/23/24,1.1,1,1.1,1,1,1.1,1,1
06/24/24,1.1,1,1,1,1,1.1,1,1
06/25/24,1.1,1,1,1,1,1.1,1,1
06/26/24,1.1,1,1,1,1,1.1,1,1
06/27/24,1.1,1,1,1,1,1.1,1,1
06/28/24,1.1,1,1,1,1,1.1,1,1
06/29/24,1.1,1,1,1,1,1.1,1,1
06/30/24,1,1,1,1,1,1.1,1,1
07/01/24,1,1,1,1,1,1.1,1,1
07/02/24,1,1,1,1,1,1.1,1,1
07/03/24,1,1,1,1,1,1.1,1,1
07/04/24,1,1,1,1,1,1.1,1,1
07/05/24,1,1,1,1,1,1.1,1,1
07/06/24,1,1,1,1,1,1.1,1,1
07/07/24,1.1,1,1,1,1,1.1,1,1
07/08/24,1.1,1,1,1,1,1.1,1,1
07/09/24,1.1,1,1,1,1,1.1,0.9,1
07/10/24,1.1,1,1,1,1,1.1,0.9,1
07/11/24,1.1,1,1,1,1,1.1,1,1
07/12/24,1.1,1,1,1,1,1.1,1,1
07/13/24,1.1,1,1,1,1,1.1,1,1
07/14/24,1.1,1.1,1,1,1,1.1,1,1
07/15/24,1.1,1.1,1,1,1,1.1,1,1
07/16/24,1.1,1.1,1,1,1,1.1,1,1
07/17/24,1.1,1.1,1,1,1,1.1,1,1
